Time,THERMAL ZONE 1:ROME ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:ROME ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:ROME ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:ROME ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:ROME ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:ROME ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:ROME ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:ROME ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:ROME ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:ROME ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:ROME ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:ROME ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:ROME ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:ROME ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:ROME ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:ROME ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:ROME ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:ROME ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:ROME ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:ROME ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:ROME ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:ROME ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:ROME ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:ROME ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:ROME ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:ROME ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:ROME ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:ROME ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:ROME ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:ROME ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:ROME ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:ROME ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,4.897879E+03,1.369860E+03,2.527292E-01,1.057353E-01,4.897370E+03,1.394027E+03,2.527029E-01,1.076014E-01,1.689646E+03,0.000000E+00,8.718717E-02,0.000000E+00,9.055499E+03,1.920169E+03,4.672523E-01,1.481775E-01,6.063902E+03,0.000000E+00,3.129385E-01,0.000000E+00,1.148048E+03,0.000000E+00,5.924670E-02,0.000000E+00,3.187323E+03,0.000000E+00,1.644905E-01,0.000000E+00,3.187162E+03,0.000000E+00,1.644822E-01,0.000000E+00
00:30:00,4.897902E+03,1.335901E+03,2.527303E-01,1.031111E-01,4.897392E+03,1.360317E+03,2.527041E-01,1.049964E-01,1.689660E+03,0.000000E+00,8.718787E-02,0.000000E+00,9.055536E+03,1.882916E+03,4.672542E-01,1.453034E-01,6.063915E+03,0.000000E+00,3.129391E-01,0.000000E+00,1.148053E+03,0.000000E+00,5.924696E-02,0.000000E+00,3.187331E+03,0.000000E+00,1.644909E-01,0.000000E+00,3.187170E+03,0.000000E+00,1.644826E-01,0.000000E+00
00:45:00,4.897923E+03,1.302317E+03,2.527314E-01,1.005162E-01,4.897413E+03,1.327016E+03,2.527051E-01,1.024231E-01,1.689673E+03,0.000000E+00,8.718852E-02,0.000000E+00,9.055571E+03,1.843102E+03,4.672560E-01,1.422309E-01,6.063927E+03,0.000000E+00,3.129397E-01,0.000000E+00,1.148057E+03,0.000000E+00,5.924720E-02,0.000000E+00,3.187338E+03,0.000000E+00,1.644913E-01,0.000000E+00,3.187177E+03,0.000000E+00,1.644830E-01,0.000000E+00
01:00:00,4.897942E+03,1.269471E+03,2.527324E-01,9.797829E-02,4.897433E+03,1.294376E+03,2.527062E-01,9.990105E-02,1.689684E+03,0.000000E+00,8.718913E-02,0.000000E+00,9.055604E+03,1.801648E+03,4.672577E-01,1.390315E-01,6.063938E+03,0.000000E+00,3.129403E-01,0.000000E+00,1.148062E+03,0.000000E+00,5.924742E-02,0.000000E+00,3.187345E+03,0.000000E+00,1.644916E-01,0.000000E+00,3.187184E+03,0.000000E+00,1.644833E-01,0.000000E+00
01:15:00,4.897961E+03,1.237833E+03,2.527334E-01,9.553363E-02,4.897452E+03,1.262851E+03,2.527071E-01,9.746508E-02,1.689695E+03,0.000000E+00,8.718969E-02,0.000000E+00,9.055635E+03,1.760536E+03,4.672593E-01,1.358584E-01,6.063948E+03,0.000000E+00,3.129408E-01,0.000000E+00,1.148066E+03,0.000000E+00,5.924763E-02,0.000000E+00,3.187351E+03,0.000000E+00,1.644919E-01,0.000000E+00,3.187190E+03,0.000000E+00,1.644836E-01,0.000000E+00
01:30:00,4.897979E+03,1.207603E+03,2.527343E-01,9.319745E-02,4.897470E+03,1.232629E+03,2.527081E-01,9.512934E-02,1.689705E+03,0.000000E+00,8.719021E-02,0.000000E+00,9.055665E+03,1.720355E+03,4.672608E-01,1.327570E-01,6.063958E+03,0.000000E+00,3.129413E-01,0.000000E+00,1.148069E+03,0.000000E+00,5.924782E-02,0.000000E+00,3.187357E+03,0.000000E+00,1.644922E-01,0.000000E+00,3.187196E+03,0.000000E+00,1.644840E-01,0.000000E+00
01:45:00,4.897996E+03,1.178569E+03,2.527352E-01,9.095408E-02,4.897487E+03,1.203496E+03,2.527090E-01,9.287830E-02,1.689715E+03,0.000000E+00,8.719070E-02,0.000000E+00,9.055694E+03,1.681481E+03,4.672623E-01,1.297565E-01,6.063968E+03,0.000000E+00,3.129418E-01,0.000000E+00,1.148073E+03,0.000000E+00,5.924799E-02,0.000000E+00,3.187363E+03,0.000000E+00,1.644925E-01,0.000000E+00,3.187202E+03,0.000000E+00,1.644843E-01,0.000000E+00
02:00:00,4.898013E+03,1.150806E+03,2.527361E-01,8.880963E-02,4.897504E+03,1.175536E+03,2.527098E-01,9.071848E-02,1.689724E+03,0.000000E+00,8.719116E-02,0.000000E+00,9.055721E+03,1.644233E+03,4.672637E-01,1.268815E-01,6.063977E+03,0.000000E+00,3.129423E-01,0.000000E+00,1.148076E+03,0.000000E+00,5.924816E-02,0.000000E+00,3.187368E+03,0.000000E+00,1.644928E-01,0.000000E+00,3.187207E+03,0.000000E+00,1.644845E-01,0.000000E+00
02:15:00,4.898029E+03,1.123722E+03,2.527369E-01,8.671809E-02,4.897519E+03,1.148163E+03,2.527106E-01,8.860459E-02,1.689732E+03,0.000000E+00,8.719160E-02,0.000000E+00,9.055747E+03,1.607646E+03,4.672650E-01,1.240577E-01,6.063985E+03,0.000000E+00,3.129427E-01,0.000000E+00,1.148079E+03,0.000000E+00,5.924831E-02,0.000000E+00,3.187373E+03,0.000000E+00,1.644931E-01,0.000000E+00,3.187213E+03,0.000000E+00,1.644848E-01,0.000000E+00
02:30:00,4.898044E+03,1.097338E+03,2.527377E-01,8.468100E-02,4.897534E+03,1.121409E+03,2.527114E-01,8.653896E-02,1.689740E+03,0.000000E+00,8.719201E-02,0.000000E+00,9.055772E+03,1.571834E+03,4.672663E-01,1.212937E-01,6.063993E+03,0.000000E+00,3.129432E-01,0.000000E+00,1.148082E+03,0.000000E+00,5.924845E-02,0.000000E+00,3.187378E+03,0.000000E+00,1.644933E-01,0.000000E+00,3.187217E+03,0.000000E+00,1.644850E-01,0.000000E+00
02:45:00,4.898058E+03,1.071685E+03,2.527384E-01,8.270066E-02,4.897549E+03,1.095318E+03,2.527121E-01,8.452469E-02,1.689748E+03,0.000000E+00,8.719239E-02,0.000000E+00,9.055795E+03,1.536913E+03,4.672675E-01,1.185986E-01,6.064001E+03,0.000000E+00,3.129436E-01,0.000000E+00,1.148084E+03,0.000000E+00,5.924858E-02,0.000000E+00,3.187383E+03,0.000000E+00,1.644936E-01,0.000000E+00,3.187222E+03,0.000000E+00,1.644853E-01,0.000000E+00
